iter	Passed	Remaining
0	1	162
1	3	163
2	5	167
3	6	160
4	8	169
5	10	171
6	13	178
7	15	179
8	17	180
9	19	179
10	22	179
11	24	177
12	26	174
13	28	173
14	30	173
15	32	173
16	35	171
17	37	170
18	39	168
19	41	164
20	43	162
21	45	160
22	47	158
23	49	155
24	51	154
25	53	151
26	54	148
27	57	146
28	58	144
29	60	140
30	61	137
31	63	135
32	65	133
33	68	132
34	69	129
35	71	127
36	73	125
37	75	123
38	78	122
39	80	120
40	81	117
41	82	113
42	83	110
43	84	107
44	86	106
45	89	104
46	91	102
47	93	100
48	94	98
49	95	95
50	96	93
51	98	90
52	98	87
53	99	85
54	101	82
55	102	80
56	104	79
57	106	77
58	108	75
59	110	73
60	111	71
61	113	69
62	114	67
63	116	65
64	117	63
65	119	61
66	120	59
67	122	57
68	123	55
69	124	53
70	126	51
71	127	49
72	128	47
73	129	45
74	131	43
75	132	41
76	133	39
77	135	38
78	136	36
79	137	34
80	138	32
81	139	30
82	140	28
83	141	26
84	142	25
85	143	23
86	145	21
87	146	19
88	147	18
89	149	16
90	150	14
91	151	13
92	153	11
93	154	9
94	155	8
95	156	6
96	157	4
97	158	3
98	159	1
99	160	0
