iter	Passed	Remaining
0	142	142276
1	146	73101
2	149	49843
3	154	38455
4	158	31526
5	161	26717
6	162	23038
7	165	20484
8	168	18516
9	171	17023
10	175	15802
11	179	14766
12	182	13883
13	186	13120
14	188	12364
15	189	11665
16	191	11075
17	194	10598
18	196	10160
19	199	9756
20	201	9411
21	204	9094
22	207	8795
23	209	8519
24	211	8254
25	213	7995
26	215	7752
27	217	7533
28	218	7324
29	220	7129
30	222	6952
31	224	6778
32	225	6609
33	227	6457
34	228	6299
35	229	6150
36	230	6000
37	231	5862
38	232	5733
39	233	5615
40	235	5512
41	237	5408
42	238	5306
43	239	5206
44	241	5115
45	242	5024
46	243	4933
47	244	4851
48	245	4768
49	246	4688
50	247	4609
51	249	4540
52	250	4474
53	251	4407
54	252	4341
55	253	4278
56	256	4238
57	257	4185
58	259	4136
59	261	4092
60	262	4046
61	264	4001
62	266	3956
63	267	3914
64	268	3868
65	270	3824
66	271	3783
67	272	3739
68	273	3695
69	275	3661
70	277	3624
71	279	3603
72	280	3565
73	282	3529
74	283	3495
75	284	3458
76	285	3421
77	286	3384
78	287	3349
79	288	3317
80	289	3284
81	291	3262
82	291	3225
83	293	3195
84	294	3167
85	295	3137
86	296	3108
87	297	3078
88	298	3050
89	298	3023
90	299	2995
91	300	2968
92	301	2940
93	302	2913
94	303	2887
95	303	2862
96	304	2837
97	305	2816
98	307	2798
99	308	2775
100	309	2754
101	310	2733
102	311	2711
103	312	2689
104	313	2669
105	314	2648
106	315	2629
107	315	2609
108	316	2590
109	317	2572
110	319	2555
111	320	2542
112	322	2527
113	323	2513
114	324	2496
115	325	2478
116	325	2459
117	326	2442
118	327	2424
119	328	2406
120	328	2389
121	329	2371
122	330	2354
123	330	2337
124	331	2320
125	332	2303
126	332	2286
127	333	2270
128	334	2255
129	335	2242
130	336	2229
131	337	2216
132	338	2203
133	338	2190
134	339	2176
135	340	2162
136	341	2148
137	341	2134
138	342	2120
139	343	2107
140	343	2093
141	344	2079
142	344	2066
143	345	2053
144	346	2040
145	346	2028
146	347	2016
147	348	2004
148	348	1992
149	349	1981
150	350	1971
151	351	1960
152	352	1951
153	353	1940
154	353	1929
155	354	1919
156	355	1908
157	356	1898
158	357	1888
159	357	1877
160	358	1866
161	358	1856
162	359	1845
163	360	1836
164	360	1826
165	361	1816
166	362	1806
167	362	1796
168	363	1787
169	364	1778
170	365	1769
171	366	1762
172	366	1754
173	367	1745
174	368	1737
175	369	1729
176	370	1721
177	370	1713
178	371	1704
179	372	1696
180	373	1688
181	373	1680
182	374	1672
183	375	1664
184	375	1656
185	376	1648
186	377	1640
187	377	1632
188	378	1625
189	379	1618
190	380	1611
191	381	1605
192	382	1599
193	383	1593
194	384	1586
195	385	1580
196	386	1573
197	386	1566
198	387	1560
199	388	1553
200	389	1547
201	390	1540
202	390	1534
203	391	1527
204	392	1521
205	393	1515
206	394	1509
207	394	1503
208	395	1497
209	396	1491
210	397	1486
211	398	1480
212	399	1475
213	400	1469
214	400	1463
215	401	1457
216	402	1452
217	403	1446
218	403	1440
219	404	1434
220	405	1428
221	405	1422
222	406	1416
223	407	1411
224	408	1405
225	408	1400
226	409	1394
227	410	1390
228	411	1385
229	412	1379
230	412	1374
231	413	1369
232	414	1364
233	415	1360
234	416	1354
235	416	1349
236	417	1344
237	418	1338
238	418	1333
239	419	1328
240	420	1323
241	420	1318
242	421	1313
243	422	1309
244	423	1304
245	424	1300
246	425	1296
247	426	1293
248	428	1292
249	429	1287
250	430	1283
251	432	1282
252	432	1277
253	433	1274
254	434	1270
255	435	1266
256	436	1263
257	438	1259
258	438	1255
259	439	1251
260	440	1248
261	441	1244
262	442	1240
263	443	1236
264	444	1233
265	445	1229
266	446	1226
267	447	1222
268	448	1218
269	449	1215
270	451	1213
271	452	1210
272	453	1206
273	454	1203
274	456	1202
275	457	1199
276	458	1195
277	459	1193
278	460	1190
279	462	1188
280	463	1185
281	464	1182
282	465	1179
283	466	1175
284	467	1171
285	468	1168
286	468	1164
287	470	1162
288	471	1159
289	472	1156
290	473	1153
291	474	1151
292	475	1148
293	476	1144
294	477	1141
295	478	1138
296	479	1135
297	480	1131
298	481	1128
299	482	1125
300	483	1122
301	484	1119
302	485	1117
303	486	1114
304	487	1111
305	488	1108
306	489	1106
307	490	1102
308	491	1099
309	492	1097
310	493	1094
311	494	1090
312	495	1087
313	496	1084
314	497	1081
315	497	1077
316	498	1075
317	499	1071
318	500	1069
319	501	1066
320	502	1063
321	503	1060
322	504	1057
323	505	1054
324	506	1051
325	507	1048
326	508	1045
327	508	1042
328	509	1039
329	510	1036
330	511	1033
331	511	1030
332	512	1026
333	513	1023
334	514	1021
335	515	1018
336	516	1015
337	517	1012
338	518	1010
339	519	1007
340	519	1004
341	520	1001
342	521	998
343	522	995
344	523	993
345	523	990
346	524	987
347	525	984
348	526	981
349	527	978
350	527	975
351	528	972
352	529	970
353	530	967
354	531	964
355	531	962
356	532	959
357	533	956
358	534	953
359	535	951
360	535	948
361	536	945
362	537	943
363	538	940
364	538	937
365	539	934
366	540	932
367	541	929
368	541	926
369	542	923
370	543	921
371	544	918
372	545	916
373	546	913
374	546	911
375	547	908
376	548	906
377	549	903
378	549	901
379	550	898
380	551	895
381	552	893
382	552	890
383	553	888
384	554	885
385	555	883
386	555	880
387	556	877
388	557	875
389	557	872
390	558	870
391	559	867
392	560	865
393	561	863
394	562	861
395	563	858
396	564	856
397	564	854
398	565	851
399	566	849
400	567	847
401	567	844
402	568	842
403	569	839
404	569	837
405	570	834
406	571	832
407	571	829
408	572	827
409	573	825
410	575	825
411	576	823
412	577	820
413	578	818
414	579	816
415	579	814
416	580	811
417	581	809
418	582	807
419	582	805
420	583	802
421	584	800
422	585	798
423	585	795
424	586	793
425	587	791
426	588	789
427	589	787
428	590	785
429	591	783
430	592	781
431	592	779
432	593	777
433	594	775
434	595	773
435	595	770
436	596	768
437	597	766
438	598	764
439	598	762
440	599	760
441	600	757
442	601	755
443	601	753
444	602	751
445	603	749
446	604	747
447	604	745
448	605	743
449	606	741
450	607	739
451	608	737
452	609	735
453	609	733
454	610	731
455	611	729
456	612	727
457	612	725
458	613	723
459	614	721
460	615	719
461	615	717
462	616	715
463	617	713
464	618	711
465	619	709
466	619	707
467	620	705
468	621	703
469	622	701
470	623	699
471	624	698
472	624	696
473	625	694
474	626	692
475	627	690
476	628	688
477	628	686
478	629	684
479	630	682
480	630	680
481	631	678
482	632	676
483	632	674
484	633	673
485	634	671
486	635	669
487	636	668
488	637	666
489	638	664
490	639	662
491	640	660
492	641	659
493	641	657
494	644	657
495	645	655
496	645	653
497	646	651
498	647	649
499	647	647
500	648	645
501	649	644
502	650	642
503	651	640
504	651	639
505	652	637
506	653	635
507	654	633
508	655	632
509	655	630
510	656	628
511	657	626
512	658	624
513	658	622
514	659	621
515	660	619
516	660	617
517	661	615
518	662	613
519	662	611
520	663	609
521	664	608
522	665	606
523	666	605
524	666	603
525	667	601
526	668	600
527	669	598
528	670	596
529	670	594
530	671	593
531	672	591
532	672	589
533	673	587
534	674	585
535	674	584
536	675	582
537	676	580
538	676	578
539	677	577
540	678	575
541	678	573
542	679	572
543	680	570
544	681	569
545	682	567
546	683	565
547	684	564
548	684	562
549	685	561
550	686	559
551	687	557
552	687	556
553	688	554
554	689	552
555	690	551
556	690	549
557	691	547
558	692	546
559	692	544
560	693	542
561	694	541
562	695	539
563	696	538
564	697	536
565	697	535
566	698	533
567	699	531
568	700	530
569	700	528
570	701	526
571	702	525
572	702	523
573	703	521
574	703	520
575	704	518
576	705	516
577	705	515
578	706	513
579	707	512
580	707	510
581	708	508
582	709	507
583	710	506
584	711	504
585	712	503
586	713	501
587	713	500
588	714	498
589	715	497
590	716	495
591	716	494
592	717	492
593	718	490
594	718	489
595	719	487
596	719	486
597	720	484
598	721	482
599	721	481
600	722	479
601	723	478
602	724	476
603	725	475
604	726	474
605	727	473
606	728	471
607	729	470
608	730	468
609	730	467
610	731	465
611	732	464
612	732	462
613	733	461
614	734	459
615	734	458
616	735	456
617	736	455
618	736	453
619	737	452
620	738	450
621	738	449
622	739	447
623	740	446
624	741	445
625	742	443
626	743	442
627	744	440
628	744	439
629	745	437
630	746	436
631	746	434
632	747	433
633	748	432
634	749	430
635	749	429
636	750	427
637	750	426
638	751	424
639	752	423
640	753	421
641	753	420
642	754	419
643	755	417
644	757	416
645	757	415
646	758	413
647	759	412
648	760	411
649	761	409
650	762	408
651	762	407
652	763	405
653	763	404
654	764	402
655	765	401
656	765	399
657	766	398
658	767	397
659	768	395
660	768	394
661	769	393
662	770	391
663	771	390
664	772	388
665	772	387
666	773	386
667	774	384
668	775	383
669	775	382
670	776	380
671	777	379
672	777	377
673	778	376
674	779	375
675	779	373
676	780	372
677	781	371
678	782	369
679	782	368
680	783	367
681	784	365
682	785	364
683	786	363
684	786	361
